date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:59	35379/35379	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-8a33%22	https://demo.themefisher.com/thomson/images/portfolio/4.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/4.jpg	(from https://demo.themefisher.com/thomson/index.html)
21:35:59	46194/46194	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-b472%22	https://demo.themefisher.com/thomson/images/portfolio/1.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/1.jpg	(from https://demo.themefisher.com/thomson/index.html)
21:36:03	63842/63842	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-f962%22	https://demo.themefisher.com/thomson/images/portfolio/3.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/3.jpg	(from https://demo.themefisher.com/thomson/index.html)
21:36:06	43146/43146	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-a88a%22	https://demo.themefisher.com/thomson/images/portfolio/6.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/6.jpg	(from https://demo.themefisher.com/thomson/index.html)
21:36:06	47792/47792	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-bab0%22	https://demo.themefisher.com/thomson/images/portfolio/5.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/5.jpg	(from https://demo.themefisher.com/thomson/index.html)
21:36:06	47226/47226	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2018:36:06%20GMT	https://demo.themefisher.com/thomson/themefisher.com	/home/nduati/websites/Template/demo.themefisher.com/thomson/themefisher.html	(from https://demo.themefisher.com/thomson/index.html)
21:36:08	41195/41195	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-a0eb%22	https://demo.themefisher.com/thomson/images/portfolio/7.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/7.jpg	(from https://demo.themefisher.com/thomson/index.html)
21:36:09	104797/104797	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-1995d%22	https://demo.themefisher.com/thomson/plugins/jQuery/jquery.min.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/jQuery/jquery.min.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:10	81864/81864	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-13fc8%22	https://demo.themefisher.com/thomson/plugins/bootstrap/bootstrap.min.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/bootstrap/bootstrap.min.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:12	14244/14244	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-37a4%22	https://demo.themefisher.com/thomson/plugins/aos/aos.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/aos/aos.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:15	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-ad36%22	https://demo.themefisher.com/thomson/plugins/owl-carousel/owl.carousel.min.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/owl-carousel/owl.carousel.min.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:15	19832/19832	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-4d78%22	https://demo.themefisher.com/thomson/plugins/shuffle/shuffle.min.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/shuffle/shuffle.min.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:17	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-4ef8%22	https://demo.themefisher.com/thomson/plugins/magnific-popup/jquery.magnific-popup.min.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/magnific-popup/jquery.magnific-popup.min.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:18	5532/5532	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-159c%22	https://demo.themefisher.com/thomson/plugins/animated-text/animated-text.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/animated-text/animated-text.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:19	1478/1478	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-5c6%22	https://demo.themefisher.com/thomson/plugins/counto/apear.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/counto/apear.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:20	3466/3466	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-d8a%22	https://demo.themefisher.com/thomson/plugins/counto/counTo.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/counto/counTo.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:21	2829/2829	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-b0d%22	https://demo.themefisher.com/thomson/plugins/google-map/map.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/google-map/map.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:22	1607/1607	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2f4-647%22	https://demo.themefisher.com/thomson/js/script.js	/home/nduati/websites/Template/demo.themefisher.com/thomson/js/script.js	(from https://demo.themefisher.com/thomson/index.html)
21:36:26	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2f4-1339c%22	https://demo.themefisher.com/thomson/plugins/themify/fonts/themify.eot?	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/themify/fonts/themifyd41d.eot	(from https://demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css)
21:36:26	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2f4-1339c%22	https://demo.themefisher.com/thomson/plugins/themify/fonts/themify.eot	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/themify/fonts/themify.eot	(from https://demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css)
21:36:30	78584/78584	---M--	200	added ('OK')	application/octet-stream	etag:%2261ebb2f4-132f8%22	https://demo.themefisher.com/thomson/plugins/themify/fonts/themify.ttf	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/themify/fonts/themify.ttf	(from https://demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css)
21:36:33	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%2261ebb2f4-db2c%22	https://demo.themefisher.com/thomson/plugins/themify/fonts/themify.woff	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/themify/fonts/themify.woff	(from https://demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css)
21:36:33	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Apr%202022%2018:36:33%20GMT	https://demo.themefisher.com/thomson/plugins/owl-carousel/owl.video.play.png	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/owl-carousel/owl.video.play.png	(from https://demo.themefisher.com/thomson/plugins/owl-carousel/owl.carousel.min.css)
21:36:35	2501/2501	---M--	200	added ('OK')	image/png	etag:%2261ebb2f4-9c5%22	https://demo.themefisher.com/thomson/images/signature.png	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/signature.png	(from https://demo.themefisher.com/thomson/about.html)
21:36:39	35540/35540	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-8ad4%22	https://demo.themefisher.com/thomson/images/portfolio/bag.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/bag.jpg	(from https://demo.themefisher.com/thomson/portfolio-1.html)
21:36:40	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2f4-3931d%22	https://demo.themefisher.com/thomson/plugins/themify/fonts/themify.svg	/home/nduati/websites/Template/demo.themefisher.com/thomson/plugins/themify/fonts/themify.svg	(from https://demo.themefisher.com/thomson/plugins/themify/css/themify-icons.css)
21:36:43	31225/31225	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-79f9%22	https://demo.themefisher.com/thomson/images/portfolio/m-3.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/m-3.jpg	(from https://demo.themefisher.com/thomson/portfolio-1.html)
21:36:46	12934/12934	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f4-3286%22	https://demo.themefisher.com/thomson/images/portfolio/bottle.jpg	/home/nduati/websites/Template/demo.themefisher.com/thomson/images/portfolio/bottle.jpg	(from https://demo.themefisher.com/thomson/portfolio-1.html)
21:36:49	6989/6989	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f4-1b4d%22	https://demo.themefisher.com/thomson/portfolio-single4.html	/home/nduati/websites/Template/demo.themefisher.com/thomson/portfolio-single4.html	(from https://demo.themefisher.com/thomson/portfolio-single.html)
